contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,underlying_symbol,option_type,expiration_date,quote_timestamp,downloaded_at,source
SPY260529C00575000,2026-05-07 14:06:42+00:00,575.0,161.44,157.32,160.14,4.400009,2.8018398,1.0,156.0,0.5930216479492189,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00580000,2026-04-29 18:28:21+00:00,580.0,131.87,152.34,155.16,0.0,0.0,175.0,191.0,0.5766643896484375,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00585000,2026-04-23 13:38:19+00:00,585.0,128.02,147.36,150.19,0.0,0.0,1.0,34.0,0.56055126953125,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00588000,2026-04-28 14:56:58+00:00,588.0,124.85,144.38,147.2,0.0,0.0,4.0,138.0,0.5509078112792969,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00589000,2026-04-14 15:50:12+00:00,589.0,108.2,143.39,146.21,0.0,0.0,1.0,6.0,0.547978153076172,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00590000,2026-05-07 13:41:11+00:00,590.0,146.14,142.39,145.21,15.889999,12.199616,2.0,128.0,0.5444381494140625,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00591000,2026-04-28 14:56:58+00:00,591.0,121.89,141.4,144.22,0.0,0.0,2.0,76.0,0.5415084912109377,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00592000,2026-04-28 17:26:29+00:00,592.0,120.59,140.4,143.22,0.0,0.0,23.0,76.0,0.5380905566406251,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00593000,2026-04-06 15:23:42+00:00,593.0,72.74,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00594000,2026-03-18 18:50:41+00:00,594.0,80.56,118.73,121.54,0.0,0.0,16.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00595000,2026-05-05 15:17:40+00:00,595.0,131.87,137.42,140.24,0.0,0.0,1.0,293.0,0.5286912365722658,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00596000,2026-05-01 16:44:29+00:00,596.0,128.05,136.42,139.24,0.0,0.0,1.0,2.0,0.5252122674560546,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00597000,2026-03-04 18:54:18+00:00,597.0,98.94,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00598000,2026-03-18 13:42:27+00:00,598.0,81.29,114.8,117.61,0.0,0.0,2.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00599000,2026-03-09 17:15:41+00:00,599.0,84.04,113.83,116.63,0.0,0.0,1.0,3.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00600000,2026-05-07 18:30:38+00:00,600.0,133.26,132.45,135.27,-1.4100037,-1.0470065,4.0,124.0,0.5128222546386718,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00601000,2026-02-25 14:34:17+00:00,601.0,99.68,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00602000,2026-03-31 14:07:54+00:00,602.0,53.85,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00603000,2026-04-02 16:47:33+00:00,603.0,62.53,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00604000,2025-12-30 17:03:55+00:00,604.0,98.55,100.35,101.01,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00605000,2026-04-29 14:35:10+00:00,605.0,109.56,127.48,130.3,0.0,0.0,4.0,26.0,0.5566450585937501,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00606000,2026-04-28 14:56:58+00:00,606.0,107.16,126.48,129.3,0.0,0.0,5.0,31.0,0.5528609167480469,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00607000,2026-04-27 17:23:16+00:00,607.0,110.53,125.49,128.31,0.0,0.0,1.0,21.0,0.5495040167236329,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00608000,2026-04-24 14:00:02+00:00,608.0,107.09,124.5,127.32,0.0,0.0,1.0,18.0,0.5461471166992189,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00609000,2026-04-15 19:17:04+00:00,609.0,94.96,123.5,126.32,0.0,0.0,1.0,3.0,0.5424240093994142,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00610000,2026-05-07 17:32:43+00:00,610.0,122.75,122.51,125.33,12.75,11.590909,1.0,95.0,0.5390671093750001,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00611000,2025-12-24 17:53:04+00:00,611.0,96.08,94.0,94.62,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00612000,2026-03-04 19:56:47+00:00,612.0,85.2,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00613000,2026-04-17 17:00:08+00:00,613.0,103.25,119.53,122.35,0.0,0.0,2.0,2.0,0.5285691674804689,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00614000,2026-02-02 20:49:20+00:00,614.0,94.34,62.29,63.63,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00615000,2026-05-07 19:16:38+00:00,615.0,118.12,117.54,120.36,-2.6399994,-2.186154,4.0,741.0,0.5214891601562499,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00616000,2026-02-05 15:28:59+00:00,616.0,77.19,60.68,61.99,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00617000,2026-04-14 16:16:12+00:00,617.0,81.36,115.56,118.38,0.0,0.0,2.0,94.0,0.5147753601074219,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00618000,2026-04-24 15:45:06+00:00,618.0,99.37,114.57,117.39,0.0,0.0,1.0,1.0,0.5113574255371094,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00619000,2026-03-26 20:11:42+00:00,619.0,45.68,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00620000,2026-05-07 18:08:22+00:00,620.0,113.8,112.58,115.4,7.9800034,7.541111,16.0,242.0,0.5042774182128906,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00621000,2026-04-14 16:09:22+00:00,621.0,77.49,111.59,114.41,0.0,0.0,1.0,1.0,0.5009205181884766,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00622000,2026-04-23 19:50:04+00:00,622.0,89.32,110.6,113.42,0.0,0.0,1.0,8.0,0.49750258361816413,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00623000,2026-04-10 16:11:08+00:00,623.0,64.28,109.6,112.42,0.0,0.0,2.0,5.0,0.49377947631835944,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00624000,2026-05-04 13:49:26+00:00,624.0,99.0,108.61,111.43,0.0,0.0,1.0,4.0,0.49042257629394537,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00625000,2026-05-01 14:28:49+00:00,625.0,101.91,107.62,110.44,0.0,0.0,1.0,163.0,0.4870046417236329,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00626000,2026-04-15 14:25:19+00:00,626.0,75.93,106.63,109.45,0.0,0.0,7.0,12.0,0.4836477416992188,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00627000,2026-05-07 16:56:42+00:00,627.0,107.7,105.64,108.46,63.399998,143.11513,1.0,0.0,0.4802298071289062,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00628000,2026-04-30 19:31:01+00:00,628.0,93.95,104.65,107.47,0.0,0.0,2.0,3.0,0.47681187255859375,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
SPY260529C00629000,2026-04-08 16:32:35+00:00,629.0,55.66,103.66,106.48,0.0,0.0,2.0,15.0,0.4734549725341797,True,REGULAR,USD,SPY,call,2026-05-29,2026-05-05,2026-05-07T20:54:04+00:00,yfinance
