timestamp,underlying_symbol,S,return_1d,return_5d,realized_volatility,implied_volatility_proxy,r,regime_label,sigma_regime,regime_probability_stable_low_volatility,regime_probability_stress_high_volatility,regime_probability_transition_uncertainty
2010-09-09T00:00:00Z,SPY,83.73140716552734,0.0046192090883685,0.0226812990614493,0.184788455074521,0.2281,0.005699999999999999,stress_high_volatility,0.2944703642700688,4.593815048778817e-291,0.9964159590311711,0.003584040967244616
2010-09-10T00:00:00Z,SPY,84.15414428710938,0.0050487282597118,0.0183612900819416,0.1835221569661486,0.21989999999999998,0.0058,transition_uncertainty,0.17279575901607797,1.2408002802830617e-12,0.03593240989498995,0.9640675901041127
2010-09-13T00:00:00Z,SPY,85.09019470214844,0.011123045964861,0.0165032943336003,0.1859472552403206,0.2121,0.0053,transition_uncertainty,0.16853054558115507,1.4038493413161591e-10,0.0022633684226547692,0.9977366314363786
2010-09-14T00:00:00Z,SPY,85.037353515625,-0.00062100206385,0.0274536019543898,0.1859760149136222,0.21559999999999999,0.005,transition_uncertainty,0.16827448990347127,4.63189428128553e-11,0.00024209807993494224,0.9997579018738324
2010-09-15T00:00:00Z,SPY,85.36195373535156,0.0038171486565243,0.024182697399514,0.1822041867179184,0.22100000000000003,0.005,transition_uncertainty,0.16825085744184953,8.76669501815107e-11,5.554651357116262e-05,0.9999444533971593
2010-09-16T00:00:00Z,SPY,85.33930206298828,-0.0002653602849052,0.0192030081888188,0.1823160928149197,0.2172,0.0048,transition_uncertainty,0.16824893548793873,1.7203551754984267e-10,4.0374894007719915e-05,0.9999596249328592
2010-09-17T00:00:00Z,SPY,85.37117767333984,0.0003735161828255,0.0144619542690411,0.1680693092682826,0.22010000000000002,0.0048,transition_uncertainty,0.16824747465381307,7.973819183051656e-10,2.8843523878289194e-05,0.9999711556787614
2010-09-20T00:00:00Z,SPY,86.67652130126953,0.015290214607609,0.0186428836445127,0.1725781105667972,0.215,0.0047,transition_uncertainty,0.1682535659299009,4.574432272307079e-11,7.692694461612489e-05,0.9999230730113511
2010-09-21T00:00:00Z,SPY,86.50196838378906,-0.002013843136064,0.0172231943682836,0.1717099467976453,0.22350000000000003,0.0043,transition_uncertainty,0.16825315748228165,5.058298468744418e-11,7.370271653236633e-05,0.9999262972328089
2010-09-22T00:00:00Z,SPY,86.07697296142578,-0.0049131300744241,0.0083763221761652,0.1608623196542323,0.22510000000000002,0.0044,transition_uncertainty,0.16824888565847654,5.092577176661324e-10,3.998168754277776e-05,0.9999600178042327
2010-09-23T00:00:00Z,SPY,85.37877655029297,-0.0081113030246277,0.000462559293906,0.1664210826408793,0.23870000000000002,0.0045000000000000005,transition_uncertainty,0.16826275711866287,5.40603104261086e-12,0.00014948098120130904,0.999850519013561
2010-09-24T00:00:00Z,SPY,87.13948059082031,0.0206222683396053,0.0207131137893705,0.172567488776014,0.21710000000000002,0.0045000000000000005,transition_uncertainty,0.16827003811224336,2.4829268627783527e-12,0.0002069561970374418,0.9997930438019175
2010-09-27T00:00:00Z,SPY,86.7220458984375,-0.0047904197908058,0.0005252240916515,0.1707573830396918,0.2254,0.0044,transition_uncertainty,0.16824742403383855,5.208644952088536e-10,2.8443817144908916e-05,0.9999715556630736
2010-09-28T00:00:00Z,SPY,87.025634765625,0.0035007115439025,0.0060538088510604,0.1566289901748652,0.226,0.0037,transition_uncertainty,0.16824794065899804,7.109490637721861e-10,3.252206998014887e-05,0.9999674772202584
2010-09-29T00:00:00Z,SPY,86.87385559082031,-0.0017440743203247,0.0092577910442046,0.1574183508374229,0.2325,0.0044,transition_uncertainty,0.1682493084234483,2.8359673552734317e-10,4.331884417504503e-05,0.999956680872558
2010-09-30T00:00:00Z,SPY,86.61580657958984,-0.0029703874597887,0.0144887298609648,0.1284428279338273,0.237,0.0042,transition_uncertainty,0.16825908940998013,1.3288854030527514e-10,0.00012052861949011773,0.9998794712474078
