timestamp,underlying_symbol,option_symbol,market_price,bs_price,fair_value,edge,delta,gamma,regime_label,regime_probabilities,signal,transaction_cost_estimate,safety_margin,regime_probability_stable_low_volatility,regime_probability_stress_high_volatility,regime_probability_transition_uncertainty
2026-05-05T00:00:00Z,SPY,SPY260529C00658000,76.44,72.82597049985554,76.28887939453125,-0.15112060546874773,0.5328181982040405,0.030399877578020096,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00664000,70.56,67.01686935045132,70.34321594238281,-0.21678405761718977,0.5437866449356079,0.06202919781208038,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00670000,64.72,61.2569853101802,64.46163940429688,-0.25836059570312386,0.5531531572341919,0.09697547554969788,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00679000,56.03,52.709812954206996,55.77745056152344,-0.25254943847656364,0.5637602806091309,0.15604600310325623,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00680000,55.08,51.77993597988461,54.82378005981445,-0.25621994018554517,0.5646564960479736,0.16312099993228912,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00681000,54.120000000000005,50.83764162682439,53.872520446777344,-0.2474795532226608,0.5654919147491455,0.17029966413974762,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00683000,52.215,48.9654044814323,51.97735595703125,-0.2376440429687534,0.5669729113578796,0.1849682331085205,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00684000,51.265,48.03573515491132,51.033546447753906,-0.23145355224609432,0.5676145553588867,0.19245752692222595,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00685000,49.72,45.74723711695924,50.09230422973633,0.37230422973632926,0.5681873559951782,0.20004960894584656,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",BUY,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00690000,45.615,42.52170309784265,45.42629623413086,-0.18870376586914261,0.5699228644371033,0.23951199650764465,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00695000,40.975,38.01287493997637,40.832698822021484,-0.14230117797851705,0.5694124698638916,0.28126561641693115,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00696000,40.06,37.11993609400497,39.923500061035156,-0.13649993896484602,0.5689815878868103,0.2898475229740143,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00697000,38.835,35.543665172602516,39.017662048339844,0.1826620483398429,0.5684248805046082,0.2984926104545593,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",BUY,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00700000,36.24,33.20274134008133,36.3216667175293,0.08166671752929489,0.5659103393554688,0.3247204124927521,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",BUY,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00701000,35.155,31.921927981726412,35.43060302734375,0.27560302734374886,0.5647583603858948,0.333526611328125,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",BUY,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00703000,33.735,31.02637465655488,33.66083526611328,-0.07416473388671818,0.5619180202484131,0.3511601984500885,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00705000,31.975,29.341554277302066,31.908702850341797,-0.06629714965820455,0.5582810640335083,0.3687204122543335,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00706000,31.095,28.499403838511455,31.039794921875,-0.05520507812499886,0.5561314821243286,0.3774290084838867,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00707000,30.225,27.66829572663562,30.175975799560547,-0.049024200439454546,0.5537434816360474,0.3860628604888916,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00708000,29.365000000000002,26.850647760525817,29.31743049621582,-0.04756950378418168,0.5511016845703125,0.3946007788181305,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00709000,28.505000000000003,26.032495194040337,28.464515686035156,-0.04048431396484631,0.5481925010681152,0.40301796793937683,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00710000,27.65,25.21597920777367,27.61748504638672,-0.03251495361327983,0.5450021624565125,0.4112893342971802,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00711000,26.805,24.420073023601105,26.776657104492188,-0.028342895507812216,0.5415160059928894,0.4193876385688782,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",SELL,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
2026-05-05T00:00:00Z,SPY,SPY260529C00712000,25.92,23.518808329304136,25.942325592041016,0.02232559204101392,0.5377200841903687,0.4272843301296234,transition_uncertainty,"(0.010953739079171, 3.889155618166566e-05, 0.9890073693639776)",BUY,0.0,0.0,0.010953739079171,3.889155618166566e-05,0.9890073693639776
