date,asset,ticker,open,high,low,close,adj_close,volume,price_used,return_1d,log_return_1d,return_5d,return_20d,volatility_5d,volatility_20d,volatility_60d,volatility_5d_ann,volatility_20d_ann,volatility_60d_ann,hl_range,co_return,oc_gap
2010-01-04,GLD,GLD,109.81999969482422,110.13999938964844,109.30999755859375,109.80000305175781,109.80000305175781,16224100.0,109.80000305175781,,,,,,,,,,,0.0075578385846035035,-0.00018208562303746468,
2010-01-05,GLD,GLD,109.87999725341797,110.38999938964844,109.26000213623047,109.69999694824219,109.69999694824219,14213100.0,109.69999694824219,-0.0009108023746454696,-0.0009112174071558337,,,,,,,,,0.010283921383906101,-0.0016381535281680406,0.000728544621464613
2010-01-06,GLD,GLD,110.70999908447266,111.7699966430664,110.41000366210938,111.51000213623047,111.51000213623047,24981900.0,111.51000213623047,0.01649959196299955,0.016364952672508887,,,,,,,,,0.01228428319215634,0.007226113796165814,0.009206947714930204
2010-01-07,GLD,GLD,111.06999969482422,111.29000091552734,110.62000274658203,110.81999969482422,110.81999969482422,13609800.0,110.81999969482422,-0.006187807624317698,-0.006207031449163178,,,,,,,,,0.006032215456794801,-0.002250832814323397,-0.003945856272773667
2010-01-08,GLD,GLD,111.5199966430664,111.58000183105469,110.26000213623047,111.37000274658203,111.37000274658203,15894600.0,111.37000274658203,0.0049630306196752905,0.00495075538137829,,,,,,,,,0.011836439513615137,-0.0013449955254612237,0.006316521838746048
2010-01-11,GLD,GLD,113.33999633789062,113.58999633789062,112.5199966430664,112.8499984741211,112.8499984741211,17253000.0,112.8499984741211,0.01328899785435711,0.013201473675458084,0.02777773531504879,,0.009431566864543233,,,0.14972148238355165,,,0.009440618752398069,-0.004323256393168952,0.017688727150265364
2010-01-12,GLD,GLD,112.37999725341797,113.05000305175781,110.13999938964844,110.48999786376953,110.48999786376953,29182600.0,110.48999786376953,-0.020912721685971136,-0.02113448995131151,0.007201467069320566,,0.015341907041706362,,,0.24354522401895412,,,0.02589432045942561,-0.016817934114969506,-0.004164831431618551
2010-01-13,GLD,GLD,110.91999816894531,111.56999969482422,109.56999969482422,111.54000091552734,111.54000091552734,20014000.0,111.54000091552734,0.00950315025847348,0.009458279378539308,0.00026902321515720473,,0.013905281091734174,,,0.22073949407506413,,,0.018031013640603787,0.005589638990416209,0.0038917577472121706
2010-01-14,GLD,GLD,111.51000213623047,112.37000274658203,110.79000091552734,112.02999877929688,112.02999877929688,18305300.0,112.02999877929688,0.004393023666376061,0.004383402504944763,0.010918598518360856,,0.013514283305374524,,,0.21453259663975774,,,0.01416914896230042,0.00466322870688436,-0.0002689508611318194
2010-01-15,GLD,GLD,111.3499984741211,112.01000213623047,110.37999725341797,110.86000061035156,110.86000061035156,18002700.0,110.86000061035156,-0.01044361493969348,-0.010498532177150062,-0.004579349229172247,,0.014453586422391976,,,0.22944357135977364,,,0.014638571218223503,-0.004400519716966245,-0.006069805521603248
2010-01-19,GLD,GLD,110.94999694824219,111.75,110.83000183105469,111.5199966430664,111.5199966430664,10468200.0,111.5199966430664,0.005953418988644765,0.005935767413319545,-0.011785572432769564,,0.012968052311847734,,,0.20586144843615203,,,0.008292007158634611,0.005137446692225884,0.0008118017084172881
2010-01-20,GLD,GLD,109.97000122070312,110.05000305175781,108.45999908447266,108.94000244140625,108.94000244140625,17535000.0,108.94000244140625,-0.02313481240425197,-0.023406622544498178,-0.014028377702336225,,0.013802874209824133,,,0.21911383522261096,,,0.014458524594303811,-0.009366179575007278,-0.013898811594518192
2010-01-21,GLD,GLD,108.4800033569336,108.77999877929688,106.61000061035156,107.37000274658203,107.37000274658203,25748400.0,107.37000274658203,-0.01441159959280014,-0.01451645533950801,-0.037385674508855216,,0.01257880157026143,,,0.19968228447684308,,,0.02000366981742553,-0.010232306194712298,-0.004222499303872041
2010-01-22,GLD,GLD,106.93000030517578,107.68000030517578,106.01000213623047,107.16999816894531,107.16999816894531,24210100.0,107.16999816894531,-0.001862760291706178,-0.0018644973871885428,-0.043381243089415156,,0.01133728126014547,,,0.17997376054762737,,,0.015617676649950209,0.002244439007617907,-0.004098001584714096
2010-01-25,GLD,GLD,107.44000244140625,107.72000122070312,107.06999969482422,107.4800033569336,107.4800033569336,13200500.0,107.4800033569336,0.002892648999579084,0.002888473341000015,-0.03048887998204075,,0.012388551178581024,,,0.19666215313752916,,,0.0060499023744288605,0.00037230933189115245,0.002519401670934961
2010-01-26,GLD,GLD,106.87000274658203,107.98999786376953,106.75,107.55999755859375,107.55999755859375,12297100.0,107.55999755859375,0.0007442705541653716,0.0007439937221865503,-0.03550931854084538,,0.011286410413248524,,,0.179166210888392,,,0.011602861718923175,0.006456393695880077,-0.005675480008367631
2010-01-27,GLD,GLD,107.52999877929688,108.80000305175781,106.16000366210938,106.52999877929688,106.52999877929688,19005100.0,106.52999877929688,-0.009576039444736728,-0.009622184538243794,-0.022122302259040327,,0.007341622594222197,,,0.1165446456240288,,,0.024551282615254022,-0.009299730413393565,-0.0002789027517459085
2010-01-28,GLD,GLD,107.18000030517578,107.2300033569336,105.18000030517578,106.4800033569336,106.4800033569336,16793900.0,106.4800033569336,-0.0004693083914030227,-0.0004694185510533905,-0.008289087891233837,,0.004778163084058738,,,0.07585098746477299,,,0.019126731161791356,-0.00653104073753566,0.0061015820269137945
2010-01-29,GLD,GLD,105.87999725341797,106.30000305175781,105.2699966430664,105.95999908447266,105.95999908447266,20278800.0,105.95999908447266,-0.004883586176437471,-0.004895549849721357,-0.01129046473029871,,0.004997104762453833,,,0.07932657886073603,,,0.00972805473564702,0.0007555896593310963,-0.005634918149883349
2010-02-01,GLD,GLD,106.63999938964844,108.4800033569336,106.37000274658203,108.3499984741211,108.3499984741211,14901900.0,108.3499984741211,0.02255567582388429,0.022305058135940522,0.008094483531958074,,0.012266249423368505,,,0.194720672962335,,,0.019786202385859923,0.016035250321265907,0.0064175189793431045
2010-02-02,GLD,GLD,109.16000366210938,109.5999984741211,108.61000061035156,109.12999725341797,109.12999725341797,14292200.0,109.12999725341797,0.007198881313165595,0.007173093057516182,0.014596501770734571,-0.006102056281583335,0.012487436423988765,0.011791143138934779,,0.198231907743624,0.18717859451272167,,0.009069236263805387,-0.000274884643502644,0.007475820945043643
2010-02-03,GLD,GLD,109.0999984741211,109.54000091552734,108.43000030517578,108.69999694824219,108.69999694824219,13393200.0,108.69999694824219,-0.003940257637661704,-0.003948040904900219,0.020369831914116565,-0.009115770536181622,0.011262949015272875,0.01181886739874726,,0.1787937727416711,0.18761870349320467,,0.010174157890706649,-0.0036663751739078898,-0.0002748903147794722
