date,asset,ticker,open,high,low,close,adj_close,volume,price_used,return_1d,log_return_1d,return_5d,return_20d,volatility_5d,volatility_20d,volatility_60d,volatility_5d_ann,volatility_20d_ann,volatility_60d_ann,hl_range,co_return,oc_gap
2010-01-04,VIX_YFINANCE,^VIX,21.68000030517578,21.68000030517578,20.030000686645508,20.040000915527344,20.040000915527344,0.0,20.040000915527344,,,,,,,,,,,0.07610699240333314,-0.07564572723999971,
2010-01-05,VIX_YFINANCE,^VIX,20.049999237060547,20.1299991607666,19.34000015258789,19.350000381469727,19.350000381469727,0.0,19.350000381469727,-0.034431162801145,-0.035037882711671804,,,,,,,,,0.03940144829125338,-0.034912662455215356,0.0004989182173867193
2010-01-06,VIX_YFINANCE,^VIX,19.59000015258789,19.68000030517578,18.770000457763672,19.15999984741211,19.15999984741211,0.0,19.15999984741211,-0.009819148853328685,-0.009867674611151348,,,,,,,,,0.04645226341623566,-0.0219499898839448,0.012403088702158203
2010-01-07,VIX_YFINANCE,^VIX,19.68000030517578,19.709999084472656,18.700000762939453,19.059999465942383,19.059999465942383,0.0,19.059999465942383,-0.005219226631843266,-0.005232894372593416,,,,,,,,,0.051321052127604724,-0.03150410719609288,0.027139898846810635
2010-01-08,VIX_YFINANCE,^VIX,19.270000457763672,19.270000457763672,18.110000610351562,18.1299991607666,18.1299991607666,0.0,18.1299991607666,-0.04879330174366292,-0.05002389172924773,,,,,,,,,0.060197188368242005,-0.059159380898601704,0.011017890750549713
2010-01-11,VIX_YFINANCE,^VIX,16.93000030517578,17.739999771118164,16.860000610351562,17.549999237060547,17.549999237060547,0.0,17.549999237060547,-0.031991172121021205,-0.032514072037455495,-0.12425157508538331,,0.01865044095245533,,,0.29606657161134853,,,0.051978685463908186,0.03662131841162588,-0.06618857755865887
2010-01-12,VIX_YFINANCE,^VIX,17.950000762939453,19.459999084472656,17.950000762939453,18.25,18.25,0.0,18.25,0.039886085092314616,0.03911117358896017,-0.05684756381313183,,0.03364855998168734,,,0.5341543301219087,,,0.08412246559068831,0.016713048708050286,0.022792110727516055
2010-01-13,VIX_YFINANCE,^VIX,17.940000534057617,18.719999313354492,17.559999465942383,17.850000381469727,17.850000381469727,0.0,17.850000381469727,-0.021917787316727333,-0.02216155043199965,-0.06837158018658962,,0.03392869935571599,,,0.5386014048186115,,,0.0646599672731305,-0.005016730764139763,-0.016986272106431936
2010-01-14,VIX_YFINANCE,^VIX,18.15999984741211,18.270000457763672,17.3799991607666,17.6299991607666,17.6299991607666,0.0,17.6299991607666,-0.012324998095322726,-0.012401580789298185,-0.07502625106212601,,0.03360686864080005,,,0.5334925006030333,,,0.0490088824050238,-0.02918506008253274,0.017366916488371426
2010-01-15,VIX_YFINANCE,^VIX,17.6299991607666,19.020000457763672,17.6299991607666,17.90999984741211,17.90999984741211,0.0,17.90999984741211,0.015882058988897496,0.015757258745714202,-0.012134546251417966,,0.02936946836967872,,,0.466225856666085,,,0.0788429587728142,0.015882058988897454,0.0
2010-01-19,VIX_YFINANCE,^VIX,18.6299991607666,18.850000381469727,17.329999923706055,17.579999923706055,17.579999923706055,0.0,17.579999923706055,-0.01842545653364358,-0.018597319635700774,0.0017094409088151963,,0.026306774240656732,,,0.4176070946225865,,,0.0815888634587102,-0.05636067012132601,0.040200967028959964
2010-01-20,VIX_YFINANCE,^VIX,18.510000228881836,19.690000534057617,18.440000534057617,18.68000030517578,18.68000030517578,0.0,18.68000030517578,0.06257112549735644,0.06069156122051371,0.023561660557577024,,0.03469178937682945,,,0.550715083361539,,,0.06753106345453086,0.009184228751585206,0.05290104147962517
2010-01-21,VIX_YFINANCE,^VIX,18.59000015258789,22.299999237060547,18.270000457763672,22.270000457763672,22.270000457763672,0.0,22.270000457763672,0.19218415920438647,0.17578705268671796,0.2476190466013879,,0.07991142694639132,,,1.2685545756747425,,,0.21678314933934328,0.19795590505487398,-0.004817995241839142
